Seq_IDs	Reference_length	group1	group2	group3	group4	group5
1	921074	11.1049709361	30.7476652256	5.78590862406	1.06872520558	64.2696732293
10	289895	0.0232842925887	168.124665827	0.0129357181048	0.0107797650874	9.64530260957
100	69921	0.362909569371	14.9686789377	0.175197723145	0.330730395732	2.85679552638
1000	13780	41.6545718433	8.59034833091	2.81204644412	78.9550072569	18.5322931785
1001	13770	0	22.09513435	0.0181554103123	0	0.308641975309
1002	13761	0	14.869922244	0	0	0.599520383693
1003	13753	0	16.5327564895	0.0090889260525	0	1.58147313313
1004	13752	0	20.9605875509	0	0	0.0181791739383
1005	13735	0	8.73680378595	0	0	0.6734619585
1006	13724	29.1642378315	7.29561352375	1.16584086272	53.2279218887	14.4637132031
1007	13720	0.218658892128	16.7638483965	0.27332361516	0.218658892128	3.15233236152
1008	13701	0	18.0096343333	0.0182468432961	0	1.62396905335
1009	13645	39.6390619274	8.95016489557	1.63063393184	77.3818248443	21.0516672774
101	69666	543.073378693	32.9859615881	995.175193064	517.984023771	282.16777194
1010	13645	0.412238915354	28.3986808355	0.65042139978	0.403078050568	0.384756320997
1011	13636	0	20.6988853036	0.0550014667058	0	0
1012	13616	509.262999412	25.723413631	547.875660987	502.10230611	156.883445946
1013	13607	0.11023737782	9.66414345557	0.0183728963034	0.146983170427	1.87403542294
1014	13607	0	9.08539722202	0	0	0.468508855736
1015	13605	0	16.0143329658	0	0	1.0749724366
1016	13576	26.9501325869	7.8263111373	1.20617265763	43.0447112552	11.389584561
1017	13562	0.110603155877	8.49800914319	0	0.147470874502	0.645185075948
1018	13560	16.1135693215	9.06157817109	10.8499262537	36.1356932153	9.5685840708
1019	13542	0.941515285778	8.54748190814	0.535371437011	11.7874021563	3.92298035741
102	69342	1.26186149808	13.7380663955	0.0288425485276	3.59269995097	1.38985030717
1020	13534	6.05881483671	21.8708438008	13.4660854145	10.8984779075	2.69691148219
1021	13530	0	8.27790096083	0	0	0.406504065041
1022	13527	0.166333998669	11.6618614623	0.0184815554077	0.166333998669	1.84815554077
1023	13512	1.01761397276	7.68761101243	0.240526939017	10.0836293665	3.53389579633
1024	13507	0	8.18094321463	0	0	1.2215888058
1025	13500	16.9259259259	9.61111111111	13.287037037	38.3425925926	13.1388888889
1026	13495	11.5135235272	34.5683586514	9.28121526491	21.4338643942	52.6676546869
1027	13490	17.299851742	9.30318754633	9.70163083766	39.5756115641	9.55337286879
1028	13484	0	20.0422723228	0	0	0.0185404924355
1029	13457	0	8.44356097198	0	0	0.510886527458
103	69043	3.83999826195	16.1439248005	0.736859638196	16.1475457324	4.50081833061
1030	13429	35.6039168963	7.69789262045	2.27120411051	66.7678159208	17.0340308288
1031	13424	19.5079707986	11.2205750894	15.9602205006	45.1523390942	13.1760280095
1032	13418	0.204948576539	13.7967655388	0.0931584438814	0.223580265315	4.45297361753
1033	13417	15.4281881195	8.45010061862	4.41603935306	36.5580979355	9.03704255795
1034	13416	0.372689326178	16.109496124	0.260882528324	0.428592725104	3.82006559332
1035	18262	0.0136896287373	17.0298981492	0.0821377724236	0	0.164275544847
1036	13414	0.0186372446697	11.4991799612	0.0186372446697	0.0372744893395	2.45079767407
1037	13405	0	17.111152555	0	0	0.29839612085
1038	13390	0	17.4943988051	0	0	1.45631067961
1039	13389	16.039285981	9.58809470461	9.58809470461	39.0339084323	9.17730973187
104	68612	569.313676908	34.1084649915	844.784804407	544.175945899	262.913193027
1040	13389	0	13.0330868623	0	0	0.233400552693
1041	13378	0	18.1454627	0	0	0.0373747944386
1042	22022	0	20.8995549905	0	0	2.29883752611
1043	13353	0	19.0874709803	0.0187223844829	0	2.00329513967
1044	13348	0.0749175906503	8.72789931076	0.0374587953251	0.168564578963	0.777270002997
1045	13346	33.1091712873	8.3639292672	1.49857635247	65.3379289675	15.8568110295
1046	13345	0.0374672161858	7.90558261521	0	0.0468340202323	0.31847133758
1047	13345	1.91082802548	20.0636942675	0.0936680404646	3.23154739603	1.0490820532
1048	13344	0	6.4448441247	0	0	0.281025179856
1049	13337	32.9534378046	7.45107595411	1.74327060058	53.0479118242	13.5712679013
105	69925	1.1387200572	15.3235609582	0.0393278512692	3.21237039685	0.856274579907
1050	13335	14.9137607799	7.66779152606	3.88076490439	32.217847769	7.77090363705
1051	13335	16.9947506562	9.27071616048	11.6047994001	38.2452193476	11.6141732283
1052	13320	1.7454954955	10.228978979	0.0563063063063	5.51801801802	1.53903903904
1053	13312	0	8.15993088942	0	0	0.525841346154
1054	13310	0	9.17543200601	0	0	1.23027798648
1055	13307	0.516645374615	7.317577215	0.13150973172	8.99902307056	1.94446531901
1056	13297	0.658043167632	7.59569827781	0.0564037000827	9.45702038054	2.60397082049
1057	13243	6.89043268142	23.9938080495	14.2150570113	12.9785547081	3.40746054519
1058	13238	0.434355642846	12.6151986705	0.302160447197	0.169965251549	1.97348542076
1059	13229	16.053745559	9.16546980119	9.56232519465	36.5579408874	10.129261471
106	68043	1.31718178211	20.7295386741	0.0293931778434	3.25345737254	0.907514365916
1060	13227	14.6669690784	42.6211537008	13.806985711	26.6783851213	74.0530732592
1061	13220	1.42776096823	20.697806354	0	2.7136913767	0.661875945537
1062	13218	0	18.5731578151	0	0.018913602663	0
1063	13207	0	17.6989475278	0	0	1.62792458545
1064	13162	0.788254064732	8.6518006382	0.208934812339	10.5796991339	2.6781644127
1065	13153	0.199574241618	12.7442408576	0.0190070706303	0.228084847563	2.77503231202
1066	13133	0.0190360161425	19.8260108125	0.0380720322851	0	0
1067	13086	16.0667889347	8.87398746752	13.0482958887	37.4828060523	11.3480055021
1068	13075	0.678776290631	7.71510516252	0.229445506692	11.9120458891	2.71510516252
1069	15789	0	18.177211983	0	0	1.88422319336
107	67876	0.0110495609641	19.242810419	0.00736637397607	0	0.00368318698804
1070	13071	0	9.30494988907	0	0	0.325147272588
1071	13042	0	12.6418494096	0	0	0.699662628431
1072	13034	1.01657204235	7.71060303821	0.268528464017	10.3958876784	2.29208224643
1073	13033	35.2566561805	7.83587815545	1.61129440651	66.8207626794	15.8635770736
1074	13027	0	19.0085975282	0	0	1.82313656252
1075	13011	0	8.66574437015	0	0	0.595649834755
1076	13008	0.269065190652	10.5031519065	0.0576568265683	0.336331488315	1.55673431734
1077	13003	0.0961316619242	10.5360301469	0.153810659079	0.134584326694	1.2689379374
1078	14121	6.67445648325	20.5102329863	8.32979250761	12.2512569931	2.95658947667
1079	12952	17.7868282891	9.97915379864	7.23826436072	40.0420784435	10.2493823348
108	65988	6.18862520458	19.9771170516	10.6155664666	11.4812541674	3.14072255562
1080	14683	0.417149083975	19.1122386433	0.0510794796704	0.306476878022	2.94558332766
1081	12916	0	17.4686435429	0	0	1.44200991019
1082	12909	5.72275156867	19.0274227283	11.2518398017	10.8160972965	4.36710821907
1083	12907	0	17.4614550244	0	0	2.34368947083
1084	12893	0.0193903668657	10.8586054448	0	0.0193903668657	1.22159311254
1085	12875	0.300970873786	17.6893203883	0.349514563107	0.26213592233	3.69902912621
1086	12860	0	17.7779937792	0	0	0
1087	12857	0	6.87368748542	0	0	0.175001944466
1088	12821	0	17.8320723812	0	0	2.25216441775
1089	12804	0	7.40003124024	0	0	0.165963761325
109	65923	0	18.6164161218	0	0	1.25146003671
1090	12801	1.39637528318	9.73556753379	2.21662370127	2.55839387548	15.7604874619
1091	12799	0	18.4096413782	0.00976638799906	0.0195327759981	3.1447769357
1092	12799	26.7892022814	7.09039768732	0.576216891945	45.6090319556	11.8270958669
1093	12782	0	8.13644187138	0	0	0.488968862463
1094	12779	0	20.4730417091	0	0	0
1095	12775	0.420743639922	13.4637964775	0.313111545988	0.27397260274	3.63992172211
1096	19908	0	8.58323287121	0	0	0.351617440225
1097	12763	0	18.794562407	0	0	1.47888427486
1098	12759	0	16.3218120542	0	0	2.09655929148
1099	12759	0	9.70883298064	0	0	0.862136531076
11	289297	14.0811173292	39.5043847672	11.4324552277	1.54512490624	102.311811045
110	88894	149.302821338	529.28347245	28.9389610097	210.409307715	53.9364299053
1100	12726	5.08800880088	17.3169102625	9.75365393682	9.93045733145	3.29050762219
1101	12723	0	18.4606617936	0	0	1.41476066965
1102	12699	1.94897236003	15.3161666273	0.0590597684857	3.47468304591	0.984329474762
1103	12693	15.5499093989	8.67604191287	5.50500275743	35.2261088789	8.58741038368
1104	12693	5.53454660049	18.6618608682	10.3698889152	10.6357835027	3.43693374301
1105	12689	0	19.6331468201	0	0	0.0295531562771
1106	12688	0.0197036569987	17.9401796974	0	0.0197036569987	2.73880832282
1107	12675	0.571992110454	6.32149901381	0.0887573964497	7.87968441815	1.62721893491
1108	12675	0.581854043393	8.43195266272	0.216962524655	9.31952662722	2.66272189349
1109	12673	0	21.6306320524	0	0	0
111	65537	13.3970123747	40.3588812427	9.39736332148	1.38280665883	92.3047286266
1110	12652	0	19.2459690168	0.0296395826747	0	1.26462219412
1111	12641	555.929119532	28.6073095483	362.550431137	534.471165256	156.465073966
1112	12637	0	18.6852100973	0	0.0197831763868	0.0395663527736
1113	12612	0.11893434824	11.5068981922	0.0594671741199	0.138756739613	1.68490326673
1114	12604	0	8.73730561726	0	0	0.80331640749
1115	12596	16.8704350587	10.0428707526	10.4398221658	39.4867418228	11.0749444268
1116	12586	16.2780073097	9.76283171778	8.98816144923	38.137613221	11.0638805021
1117	12580	1.05325914149	8.65461049285	0.238473767886	9.87678855326	2.85174880763
1118	12561	0	20.6193774381	0	0	0.059708621925
1119	12529	0.259398196185	14.3167850587	0.33921302578	0.219490781387	3.59166733179
112	65094	0	16.996574185	0.00384059974806	0	1.75707438474
1120	12522	524.726481393	31.4047276793	386.190305063	492.832614598	180.192860565
1121	12517	15.948310298	9.44715187345	7.91922984741	37.4490692658	9.90652712311
1122	12509	0.0199856103605	18.0270205452	0	0	0.0199856103605
1123	12500	0	20.01	0	0	0.02
1124	12471	0	14.1728810841	0	0	1.42330206078
1125	12441	568.885137851	31.940760389	1143.205932	541.8073306	319.055944056
1126	12437	0.0201013106055	19.3374608024	0	0.0201013106055	0.281418348476
1127	12429	1.47839729664	18.2436237831	0	3.78147879958	1.10628369137
1128	22521	0.0111007504107	18.055370543	0	0	0
1129	12416	0	16.4304123711	0	0	1.65109536082
113	65008	7.38370662072	70.4086420133	22.3068699237	9.28924132414	418.296594265
1130	12402	0	20.8837284309	0	0	0
1131	12401	0	16.3192484477	0	0	1.83452947343
1132	12392	0.998628147192	7.33336023241	0.201743060039	9.97619431892	2.22926081343
1133	12375	0	17.9696969697	0	0	0.929292929293
1134	12361	5.37982363886	18.8394951865	13.2371976377	10.4562737643	2.79103632392
1135	12339	0	18.1234297755	0	0	0.04052192236
1136	12333	17.0072164113	10.0340549745	9.58809697559	37.8962944944	9.05092029514
1137	12321	0	19.9354760166	0	0	0.0608716824933
1138	12306	0	17.7961969771	0.132049406793	0	1.66585405493
1139	12301	0	10.4666287294	0	0	0.99585399561
114	64973	0.0076955042864	17.1205731612	0	0.0076955042864	0.223169624305
1140	12285	0	13.0036630037	0	0	1.24135124135
1141	12277	15.4251853059	8.77657408162	5.00936710923	35.2284760121	9.15329477885
